trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.005, 'e': 0.8892927216231682}",20,0,-103.19647097264344,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.005, 'e': 0.8869949227792842}",20,0,-111.04524848867189,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.005, 'e': 0.8846749491085283}",25,0,-82.53961321529971,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.005, 'e': 0.8823328586101216}",30,0,-143.27577526456062,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
99,False,"{'a': 0.005, 'e': 0.8799687098362042}",30,11,-80.14480685364803,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
100,False,"{'a': 0.005, 'e': 0.8775825618903728}",20,0,-14.848106582555879,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.005, 'e': 0.8751744744262013}",25,0,-121.94652594832995,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
102,False,"{'a': 0.005, 'e': 0.8727445076457513}",25,16,-8.172797879560123,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.005, 'e': 0.8702927222980654}",30,8,-109.44745283150277,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 3}",1
104,False,"{'a': 0.005, 'e': 0.8678191796776499}",20,0,-49.35922302992733,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.005, 'e': 0.8653239416229412}",20,0,-77.54020934059427,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
106,False,"{'a': 0.005, 'e': 0.862807070514761}",20,0,-136.24072562214428,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
107,False,"{'a': 0.005, 'e': 0.8602686292747557}",20,0,-67.6505149418056,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
108,False,"{'a': 0.005, 'e': 0.8577086813638242}",25,0,-153.95652429062648,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
109,False,"{'a': 0.005, 'e': 0.8551272907805307}",30,0,-90.95795763399818,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.005, 'e': 0.8525245220595057}",20,0,-107.3924589370537,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
111,False,"{'a': 0.005, 'e': 0.8499004402698315}",20,0,-156.89202649142356,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
112,False,"{'a': 0.005, 'e': 0.8472551110134161}",20,0,-135.20720951711752,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
113,False,"{'a': 0.005, 'e': 0.8445886004233532}",25,0,-106.98506243036644,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
114,False,"{'a': 0.005, 'e': 0.8419009751622687}",30,0,-140.80568155729233,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
115,False,"{'a': 0.005, 'e': 0.8391923024206541}",30,0,-133.16076905825025,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
116,False,"{'a': 0.005, 'e': 0.8364626499151869}",25,0,-116.1325171828652,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
117,False,"{'a': 0.005, 'e': 0.8337120858870376}",20,11,-50.026316849621246,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.005, 'e': 0.8309406791001634}",25,0,-18.898803846939828,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.005, 'e': 0.8281484988395901}",20,0,-95.84261206645765,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
120,False,"{'a': 0.005, 'e': 0.8253356149096783}",20,0,-120.43572543712301,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
121,False,"{'a': 0.005, 'e': 0.82250209763238}",25,14,-47.98272673698939,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.005, 'e': 0.8196480178454795}",20,0,-82.29518605132482,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
123,False,"{'a': 0.005, 'e': 0.8167734469008229}",25,0,-101.70862335585349,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
124,False,"{'a': 0.005, 'e': 0.8138784566625339}",20,0,-63.156661031199974,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.005, 'e': 0.8109631195052179}",20,0,-53.95711193441959,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
126,False,"{'a': 0.005, 'e': 0.8080275083121519}",20,0,-223.5740697910833,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 4}",0
127,False,"{'a': 0.005, 'e': 0.8050716964734628}",20,1,-30.06881799685268,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.005, 'e': 0.8020957578842927}",20,10,-34.447613222191585,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.005, 'e': 0.7990997669429512}",25,0,-7.614998127101273,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.005, 'e': 0.7960837985490559}",35,0,-154.849452023397,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
131,False,"{'a': 0.005, 'e': 0.7930479281016595}",20,0,-83.55839351793236,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
132,False,"{'a': 0.005, 'e': 0.7899922314973651}",30,0,-118.50214793465453,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
133,False,"{'a': 0.005, 'e': 0.7869167851284287}",25,14,-10.45062563557683,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.005, 'e': 0.7838216658808492}",25,0,-104.6485023180891,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",1
135,False,"{'a': 0.005, 'e': 0.7807069511324468}",30,0,-79.12156348582057,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
136,False,"{'a': 0.005, 'e': 0.7775727187509279}",20,0,-60.257732535888465,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.005, 'e': 0.7744190470919388}",25,0,-46.28362111640518,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",1
138,False,"{'a': 0.005, 'e': 0.7712460149971065}",30,0,-142.71502299657286,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
139,False,"{'a': 0.005, 'e': 0.7680537017920686}",20,0,-101.38503540006309,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
140,False,"{'a': 0.005, 'e': 0.7648421872844884}",25,1,-104.18126695637204,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 2}",1
141,False,"{'a': 0.005, 'e': 0.7616115517620617}",20,14,-42.080306669334405,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.005, 'e': 0.7583618759905082}",25,11,-89.23243862702691,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 1}",1
143,False,"{'a': 0.005, 'e': 0.7550932412115529}",20,4,-23.18358612736721,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.005, 'e': 0.751805729140895}",25,0,-120.43228336278189,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
145,False,"{'a': 0.005, 'e': 0.7484994219661651}",20,0,-119.14402453441345,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
146,False,"{'a': 0.005, 'e': 0.7451744023448704}",20,0,-52.865463384514726,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
147,False,"{'a': 0.005, 'e': 0.7418307534023283}",25,0,-84.54428231635868,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
148,False,"{'a': 0.005, 'e': 0.7384685587295879}",25,0,-65.15434646924652,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
149,False,"{'a': 0.005, 'e': 0.7350879023813413}",25,2,-11.767656693442943,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.005, 'e': 0.7316888688738209}",20,0,-32.22994304015229,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.005, 'e': 0.7282715431826874}",25,18,-8.932414474792767,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.005, 'e': 0.7248360107409052}",20,0,-83.42258487843776,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
153,False,"{'a': 0.005, 'e': 0.7213823574366063}",20,0,-4.1082680072967745,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.005, 'e': 0.7179106696109434}",20,0,-4.632416731058606,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.005, 'e': 0.7144210340559314}",30,5,-27.291444043939293,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.005, 'e': 0.7109135380122773}",20,0,-154.26822368211546,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
157,False,"{'a': 0.005, 'e': 0.7073882691671998}",25,0,-77.17626252801752,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
158,False,"{'a': 0.005, 'e': 0.7038453156522362}",25,0,-79.45202747643447,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
159,False,"{'a': 0.005, 'e': 0.7002847660410397}",20,0,-51.75126749800739,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.005, 'e': 0.6967067093471655}",20,7,-0.31719995160689995,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.005, 'e': 0.6931112350218442}",25,1,-130.53989717678877,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 3}",1
162,False,"{'a': 0.005, 'e': 0.6894984329517471}",20,0,-78.92721267110787,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
163,False,"{'a': 0.005, 'e': 0.6858683934567373}",20,0,-74.53487939221397,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
164,False,"{'a': 0.005, 'e': 0.6822212072876136}",20,0,-41.727177187247726,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.005, 'e': 0.6785569656238399}",25,16,-0.3574940848171331,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.005, 'e': 0.6748757600712672}",20,7,1.795841237728554,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.005, 'e': 0.6711776826598423}",20,15,10.258162605873462,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.005, 'e': 0.6674628258413082}",20,12,-29.54126297169304,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.005, 'e': 0.6637312824868916}",25,0,-47.020326233297965,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.005, 'e': 0.6599831458849822}",25,1,-37.80281931756934,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
171,False,"{'a': 0.005, 'e': 0.6562185097387998}",20,10,8.383716140107062,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.005, 'e': 0.6524374681640519}",35,0,-91.0434420768646,"{0: 28, 1: 1, 2: 2, 3: 3, 4: 1}",0
173,False,"{'a': 0.005, 'e': 0.648640115686581}",20,7,-86.89369427285818,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 1}",1
174,False,"{'a': 0.005, 'e': 0.6448265472400012}",25,17,-24.39976744120661,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
175,False,"{'a': 0.005, 'e': 0.6409968581633252}",25,2,-75.50696444902877,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
176,False,"{'a': 0.005, 'e': 0.6371511441985802}",20,15,-11.608737643969,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.005, 'e': 0.6332895014884152}",25,8,-73.88134012369048,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
178,False,"{'a': 0.005, 'e': 0.6294120265736969}",20,0,-110.81019416406063,"{0: 14, 1: 0, 2: 1, 3: 4, 4: 1}",0
179,False,"{'a': 0.005, 'e': 0.6255188163910961}",25,6,-24.110279062782457,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
180,False,"{'a': 0.005, 'e': 0.6216099682706645}",25,0,-60.144108943647026,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.005, 'e': 0.6176855799334017}",20,8,-30.74793619670973,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
182,False,"{'a': 0.005, 'e': 0.6137457494888116}",25,0,-126.15385760323235,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
183,False,"{'a': 0.005, 'e': 0.6097905754324502}",20,3,-52.03500372988928,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
